Team,Name,BATTLEBOX_SCORE,BUILDBATTLE_SCORE,DROPPER_SCORE,PARKOUR_SCORE,SKYWARS_SCORE,SURVIVALGAMES_SCORE,TAG_SCORE,TNTRUN_SCORE,BATTLEBOX_PCT,BUILDBATTLE_PCT,DROPPER_PCT,PARKOUR_PCT,SKYWARS_PCT,SURVIVALGAMES_PCT,TAG_PCT,TNTRUN_PCT,SUM_PCT,SCORE,TEAM_AVG,DIFF,DEVSCORE,FINAL_SCORE
The Gooners,Samyntha,123.0,173.5,354.0,469.5,105.0,78.0,217.0,241.5,0.013183279742765274,0.026626764886433396,0.04466313398940197,0.06497370606144479,0.016921837228041903,0.012332015810276679,0.02560169891458235,0.036025956589841125,0.24032839322278748,5.782628965244182,3.7985950548840854,1.9840339103600968,7.766662875604279,6.176243510271727
The Gooners,TitaniumMuff,93.0,173.5,93.0,11.0,78.0,72.0,129.0,45.5,0.009967845659163987,0.026626764886433396,0.011733535200605601,0.0015222806531967894,0.01257050765511684,0.011383399209486165,0.015219443133553563,0.006787499067651227,0.09581127546520757,2.3053499808010427,3.7985950548840854,-1.4932450740830427,0.812104906718,1.0399672455702962
The Gooners,jazzthomas,168.0,173.5,60.0,223.0,141.0,138.0,139.0,323.5,0.0180064308681672,0.026626764886433396,0.00757002271006813,0.03086078051480764,0.022723609991941982,0.02181818181818182,0.01639924492685229,0.0482583724919818,0.19226340820843427,4.62611986188422,3.7985950548840854,0.8275248070001346,5.453644668884355,4.467968078799501
WeAreNotCreative,Mztt,321.0,201.0,379.0,440.0,417.0,156.0,309.0,433.0,0.03440514469453376,0.030847145488029467,0.04781731011859702,0.060891226127871574,0.06720386784850926,0.024664031620553358,0.036455875412930626,0.06459312299545014,0.36687772430647514,8.827578493028158,5.448178590735915,3.379399902292243,12.206978395320402,9.455630541588059
WeAreNotCreative,Pancake_Manz,156.0,201.0,92.0,349.0,201.0,168.0,229.0,345.5,0.016720257234726688,0.030847145488029467,0.0116073681554378,0.048297813451425406,0.032393231265108784,0.026561264822134386,0.02701746106654082,0.051540240173043934,0.2449847816564473,5.894668022589139,5.448178590735915,0.446489431853224,6.341157454442363,5.123439048410336
WeAreNotCreative,Sir_TB,171.0,201.0,103.0,51.5,57.0,120.0,189.0,73.5,0.018327974276527333,0.030847145488029467,0.012995205652283624,0.007127041239966787,0.009186140209508462,0.018972332015810278,0.02229825389334592,0.010964421570821213,0.13071851434629309,3.1452657641323127,5.448178590735915,-2.302912826603602,0.8423529375287107,1.062306874257278
WeAreNotCreative,_savannah,156.0,201.0,143.0,70.0,60.0,144.0,266.0,161.0,0.016720257234726688,0.030847145488029467,0.01804188745899571,0.009687240520343206,0.009669621273166801,0.02276679841897233,0.031382727701746105,0.02401730439322742,0.1631329824892077,3.9252020831940513,5.448178590735915,-1.5229765075418635,2.4022255756521878,2.214348002247742
bluntsmokers,GoodGuySam,441.0,201.0,297.0,357.5,156.0,48.0,230.0,150.5,0.047266881028938904,0.030847145488029467,0.03747161241483724,0.049474121228895655,0.02514101531023368,0.00758893280632411,0.027135441245870695,0.022450958454538674,0.24737610797766846,5.952206595809764,5.545338553093153,0.4068680427166109,6.359074638526375,5.13667175245173
bluntsmokers,Zombeescott,471.0,201.0,283.0,80.0,75.0,36.0,316.0,227.5,0.05048231511254019,0.030847145488029467,0.035705273782488015,0.011071132023249377,0.012087026591458501,0.005691699604743083,0.03728173666823974,0.033937495338256136,0.21710382460900451,5.223814164502493,5.545338553093153,-0.32152438859065935,4.902289775911834,4.060765915431055
bluntsmokers,maxsm_,486.0,201.0,173.0,219.5,198.0,125.0,377.0,220.5,0.05209003215434083,0.030847145488029467,0.021826898814029775,0.03037641848879048,0.03190975020145044,0.019762845849802372,0.04447852760736196,0.032893264712463635,0.26418488331626894,6.356648658771373,5.545338553093153,0.8113101056782206,7.167958764449594,5.734071667077582
bluntsmokers,snailberry,366.0,201.0,257.0,149.0,36.0,54.0,322.0,119.0,0.03922829581993569,0.030847145488029467,0.03242493060812516,0.020619983393301965,0.0058017727639000805,0.008537549407114625,0.037989617744218974,0.01775192063847244,0.1932012158630984,4.6486847932889805,5.545338553093153,-0.8966537598041722,3.7520310334848084,3.2112443925068055
mung,Lord_The_Kaizer,246.0,148.5,271.0,164.5,132.0,12.0,179.0,140.0,0.026366559485530548,0.022790055248618785,0.03419126924047439,0.022765015222806533,0.021273166800966962,0.0018972332015810276,0.021118452100047192,0.02088461251584993,0.17128636381587536,4.1213835596813615,4.40806102699244,-0.2866774673110788,3.8347060923702827,3.2723039083719465
mung,Mr_Diamond_2000,186.0,148.5,328.0,256.0,117.0,18.0,133.0,115.5,0.019935691318327974,0.022790055248618785,0.041382790815039115,0.035427622474398006,0.018855761482675263,0.0028458498023715413,0.015691363850873052,0.017229805325576192,0.17415894031787993,4.190501668709673,4.40806102699244,-0.2175593582827675,3.9729423104269053,3.3743980182927857
mung,__PVP__,261.0,148.5,266.0,240.5,405.0,6.0,209.0,277.5,0.02797427652733119,0.022790055248618785,0.033560434014635376,0.03328259064489344,0.0652699435938759,0.0009486166007905138,0.024657857479943368,0.04139628552248825,0.24988005963257684,6.012455088187531,4.40806102699244,1.6043940611950909,7.616849149382622,6.065598852543465
mung,ripley2004,156.0,148.5,172.0,184.0,75.0,24.0,88.0,164.5,0.016720257234726688,0.022790055248618785,0.021700731768861975,0.025463603653473568,0.012087026591458501,0.003794466403162055,0.010382255781028787,0.024539419706123666,0.13747781638745404,3.3079037913911966,4.40806102699244,-1.1001572356012437,2.207746555789953,2.0707158723309704
